Date,Value
2013-05-13,3016444.63201
2013-05-12,3248609.0496
2013-05-11,2987755.49073
2013-05-10,3080022.31514
2013-05-09,7109505.8285
2013-05-08,6429884.36065
2013-05-07,9983220.03191
2013-05-06,9750629.967
2013-05-05,12440874.3704
2013-05-04,10847146.7046
2013-05-03,24112587.636
2013-05-02,24562503.6727
2013-05-01,30499232.3592
2013-04-30,10137883.833
2013-04-29,7055592.91411
2013-04-28,9777728.43625
2013-04-27,17667770.71
2013-04-26,6037557.54177
2013-04-25,32935614.4881
2013-04-24,16598713.5
2013-04-23,33655839.3436
2013-04-22,12551729.743
2013-04-21,9465886.875
2013-04-20,12799768.4921
2013-04-19,6680545.51208
2013-04-18,30731043.624
2013-04-17,14647188.4457
2013-04-16,27350449.773
2013-04-15,28526787.0
2013-04-14,25602974.7685
2013-04-13,25602974.7685
2013-04-12,15108183.776
2013-04-11,31760658.9344
2013-04-10,29346237.8449
2013-04-09,21337456.8816
2013-04-08,25430811.2754
2013-04-07,18309092.0797
2013-04-06,9742177.06
2013-04-05,4643979.47591
2013-04-04,9283812.07017
2013-04-03,9529646.0664
2013-04-02,17880111.1248
2013-04-01,8000595.47089
2013-03-31,3449440.625
2013-03-30,1725894.6495
2013-03-29,4521524.95383
2013-03-28,6407562.912
2013-03-27,5920328.80281
2013-03-26,6389386.81038
2013-03-25,3051700.0221
2013-03-24,5786993.34377
2013-03-23,3429027.0366
2013-03-22,6772093.6775
2013-03-21,4745058.65584
2013-03-20,7188542.11769
2013-03-19,3375507.498
2013-03-18,8356380.37053
2013-03-17,902913.046981
2013-03-16,954491.447
2013-03-15,933449.069241
2013-03-14,862012.776554
2013-03-13,8158211.5344
2013-03-12,2811125.16038
2013-03-11,7709790.44815
2013-03-10,2105337.5239
2013-03-09,1373787.19226
2013-03-08,2242168.31805
2013-03-07,5310771.9
2013-03-06,7412289.28992
2013-03-05,5075535.41732
2013-03-04,429441.2275
2013-03-03,1487782.64641
2013-03-02,387798.656125
2013-03-01,4230277.5168
2013-02-28,2266380.42287
2013-02-27,3268705.11969
2013-02-26,813827.456
2013-02-25,1311639.59169
2013-02-24,867820.909672
2013-02-23,2043434.2488
